SNR_73	23:57:43.2	−32:35:24.3	0.9 ± 0.1	0.33 ± 0.03	−0.08 ± 0.08	−0.72 ± 0.10	−0.07 ± 0.14	0.80	y	y	y	n	y	22.95 ± 0.52
SNR_74	23:57:43.3	−32:35:16.4	4.4 ± 0.5	–	−0.15 ± 0.15	−0.45 ± 0.17	–	0.80	y	y	n	n	n	24.69 ± 0.64
SNR_75	23:57:43.3	−32:35:00.2	2.5 ± 0.1	0.88 ± 0.03	−0.24 ± 0.03	−0.64 ± 0.03	−0.23 ± 0.05	1.23	y	y	y	n	y	27.05 ± 0.89
SNR_76	23:57:43.3	−32:35:28.8	21.0 ± 0.4	7.26 ± 0.27	−0.01 ± 0.02	−0.27 ± 0.03	0.19 ± 0.05	1.90	y	y	y	y	y	35.40 ± 0.78
SNR_77	23:57:43.3	−32:35:52.7	98.3 ± 0.3	–	−0.64 ± 0.00	−0.70 ± 0.00	–	1.02	n	y	n	n	n	23.34 ± 0.42
SNR_78	23:57:43.4	−32:35:26.4	14.2 ± 0.4	–	−0.43 ± 0.04	−0.64 ± 0.04	–	1.17	n	y	n	n	n	29.33 ± 0.60
SNR_79	23:57:43.4	−32:34:43.8	19.7 ± 0.2	7.68 ± 0.13	−0.41 ± 0.01	−0.60 ± 0.02	0.66 ± 0.02	1.48	n	y	y	y	y	19.73 ± 0.52
SNR_80	23:57:43.4	−32:36:07.1	4.2 ± 0.3	–	−0.51 ± 0.07	−0.69 ± 0.09	–	0.80	n	y	n	n	n	18.83 ± 0.59
SNR_81	23:57:43.4	−32:35:40.4	3.7 ± 0.1	–	−0.42 ± 0.03	−0.66 ± 0.03	–	0.80	n	y	n	n	n	22.31 ± 0.51
SNR_82	23:57:43.4	−32:34:31.8	1.6 ± 0.1	–	−0.35 ± 0.04	−0.68 ± 0.04	–	0.80	y	y	n	n	n	21.70 ± 0.83
SNR_83	23:57:43.5	−32:35:22.2	81.7 ± 0.3	–	−0.66 ± 0.00	−0.66 ± 0.01	–	1.33	n	y	n	n	n	21.16 ± 0.59
SNR_84	23:57:43.5	−32:35:24.3	12.8 ± 0.1	–	−0.57 ± 0.01	−0.75 ± 0.01	–	0.80	n	y	n	n	n	27.81 ± 0.56
SNR_85	23:57:43.6	−32:35:19.0	42.7 ± 0.2	–	−0.58 ± 0.00	−0.72 ± 0.01	–	0.94	n	y	n	n	n	24.71 ± 0.67
SNR_86	23:57:43.7	−32:35:37.3	4.9 ± 0.1	–	−0.40 ± 0.03	−0.44 ± 0.04	–	1.07	n	y	n	n	n	21.38 ± 0.48
SNR_87	23:57:43.7	−32:34:39.0	63.6 ± 0.2	22.30 ± 0.11	−0.77 ± 0.00	−0.84 ± 0.00	0.48 ± 0.01	0.80	n	n	y	y	y	14.80 ± 0.35
SNR_88	23:57:43.8	−32:35:57.2	3.0 ± 0.1	–	−0.51 ± 0.03	−0.61 ± 0.04	–	0.80	n	y	n	n	n	27.59 ± 0.80
SNR_89	23:57:43.8	−32:35:27.6	39.7 ± 0.3	13.88 ± 0.15	0.05 ± 0.01	−0.22 ± 0.01	0.56 ± 0.01	1.73	y	y	y	y	y	55.88 ± 2.42
SNR_90	23:57:43.9	−32:35:31.3	6.8 ± 0.1	2.64 ± 0.08	0.14 ± 0.02	−0.31 ± 0.03	0.21 ± 0.04	1.27	y	y	y	y	y	46.66 ± 2.36
SNR_91	23:57:44.0	−32:34:41.6	71.0 ± 0.3	32.48 ± 0.23	−0.15 ± 0.01	−0.34 ± 0.01	0.85 ± 0.01	1.56	y	y	y	y	y	34.96 ± 1.37
SNR_92	23:57:44.0	−32:34:55.6	46.5 ± 0.3	19.08 ± 0.21	−0.35 ± 0.01	−0.48 ± 0.01	0.57 ± 0.02	2.74	y	y	y	y	y	28.06 ± 0.78
SNR_93	23:57:44.0	−32:35:13.6	5.1 ± 0.2	1.75 ± 0.18	−0.36 ± 0.06	−0.74 ± 0.07	−0.22 ± 0.14	0.80	y	y	y	n	y	25.16 ± 0.55
SNR_94	23:57:44.0	−32:35:39.9	18.5 ± 0.2	–	−0.46 ± 0.01	−0.53 ± 0.01	–	1.31	n	y	n	n	n	21.67 ± 0.61
SNR_95	23:57:44.1	−32:35:17.8	13.0 ± 0.2	4.48 ± 0.12	−0.45 ± 0.02	−0.55 ± 0.02	−0.02 ± 0.04	0.80	n	y	y	n	y	30.44 ± 0.88
SNR_96	23:57:44.2	−32:34:35.9	14.9 ± 0.1	–	−0.56 ± 0.01	−0.66 ± 0.01	–	0.80	n	y	n	n	n	22.16 ± 0.55
SNR_97	23:57:44.2	−32:34:45.1	27.5 ± 0.2	–	−0.43 ± 0.01	−0.68 ± 0.01	–	1.91	n	y	n	n	n	22.66 ± 0.59
SNR_98	23:57:44.2	−32:35:32.0	3.7 ± 0.1	1.66 ± 0.05	0.12 ± 0.02	−0.29 ± 0.03	−0.06 ± 0.04	0.80	y	y	y	y	y	42.81 ± 2.07
SNR_99	23:57:44.4	−32:35:25.1	79.4 ± 0.4	–	−0.62 ± 0.01	−0.57 ± 0.01	–	2.61	n	y	n	n	n	23.64 ± 0.51
SNR_100	23:57:44.4	−32:34:37.1	73.3 ± 0.3	–	−0.55 ± 0.00	−0.74 ± 0.01	–	1.44	n	y	n	n	n	20.60 ± 0.53
SNR_101	23:57:44.4	−32:35:10.3	8.3 ± 0.1	2.88 ± 0.08	−0.30 ± 0.02	−0.55 ± 0.02	−0.26 ± 0.04	0.94	y	y	y	n	y	25.30 ± 0.74
SNR_102	23:57:44.5	−32:34:39.1	7.6 ± 0.2	–	−0.61 ± 0.03	−0.57 ± 0.04	–	0.80	n	y	n	n	n	22.15 ± 0.56
SNR_103	23:57:44.5	−32:34:57.1	3.4 ± 0.1	–	−0.51 ± 0.02	−0.71 ± 0.03	–	0.80	n	y	n	n	n	23.71 ± 0.64
SNR_104	23:57:44.6	−32:34:52.7	6.3 ± 0.4	2.15 ± 0.31	−0.34 ± 0.08	−0.63 ± 0.09	−0.03 ± 0.20	1.44	y	y	y	n	y	21.89 ± 0.70
SNR_105	23:57:44.6	−32:35:32.2	37.7 ± 0.2	16.22 ± 0.15	−0.58 ± 0.01	−0.67 ± 0.01	0.03 ± 0.01	1.97	n	y	y	n	n	23.12 ± 0.52
SNR_106	23:57:44.7	−32:34:36.5	11.3 ± 0.7	3.82 ± 0.55	−0.51 ± 0.07	−0.58 ± 0.08	−0.00 ± 0.19	0.80	n	y	y	n	y	26.11 ± 0.66
SNR_107	23:57:44.7	−32:34:39.9	55.5 ± 0.4	–	−0.60 ± 0.01	−0.67 ± 0.01	–	1.30	n	y	n	n	n	20.06 ± 0.48
SNR_108	23:57:44.8	−32:35:35.4	14.1 ± 0.1	–	−0.10 ± 0.01	−0.54 ± 0.01	–	1.28	y	y	n	n	n	32.75 ± 0.65
SNR_109	23:57:44.8	−32:34:57.7	6.7 ± 0.1	–	−0.36 ± 0.02	−0.60 ± 0.03	–	1.10	y	y	n	n	n	25.99 ± 0.72
SNR_110	23:57:44.9	−32:34:38.2	30.7 ± 0.2	–	−0.53 ± 0.01	−0.67 ± 0.01	–	0.80	n	y	n	n	n	22.88 ± 0.52
SNR_111	23:57:44.9	−32:35:03.6	33.9 ± 0.2	–	−0.47 ± 0.01	−0.62 ± 0.01	–	2.01	n	y	n	n	n	20.43 ± 0.57
SNR_112	23:57:45.0	−32:34:50.7	1.7 ± 0.1	–	−0.38 ± 0.04	−0.57 ± 0.05	–	0.80	y	y	n	n	n	21.33 ± 0.68
SNR_113	23:57:45.0	−32:35:20.3	6.6 ± 0.1	–	−0.44 ± 0.02	−0.76 ± 0.02	–	0.80	n	y	n	n	n	25.98 ± 0.56
SNR_114	23:57:45.0	−32:35:14.8	50.4 ± 0.2	–	−0.40 ± 0.01	−0.60 ± 0.01	–	1.68	n	y	n	n	n	26.48 ± 0.54
SNR_115	23:57:45.2	−32:34:28.7	14.7 ± 0.3	7.32 ± 0.22	−0.39 ± 0.02	−0.58 ± 0.03	−0.14 ± 0.04	1.77	y	y	y	n	y	26.62 ± 0.72
SNR_116	23:57:45.2	−32:35:00.2	6.5 ± 0.1	–	−0.59 ± 0.02	−0.69 ± 0.02	–	1.06	n	y	n	n	n	23.36 ± 0.64
SNR_117	23:57:45.2	−32:34:57.8	21.3 ± 0.1	–	−0.50 ± 0.01	−0.57 ± 0.01	–	1.36	n	y	n	n	n	24.82 ± 0.61
SNR_118	23:57:45.2	−32:35:44.4	6.9 ± 0.2	–	−0.59 ± 0.03	−0.80 ± 0.03	–	0.80	n	y	n	n	n	31.21 ± 0.67
SNR_119	23:57:45.2	−32:34:41.8	4.6 ± 0.1	–	−0.50 ± 0.02	−0.72 ± 0.03	–	0.80	n	y	n	n	n	24.48 ± 0.66
SNR_120	23:57:45.3	−32:34:52.4	4.8 ± 0.1	2.10 ± 0.06	−0.23 ± 0.02	−0.52 ± 0.03	0.26 ± 0.04	1.12	y	y	y	y	y	29.97 ± 0.78
